"","suburb","postcode"
"510","SUNSHINE WEST",3020
"511","SYDENHAM",3037
"512","TAYLORS LAKES",3038
"513","ALTONA",3018
"514","ALTONA MEADOWS",3028
"515","ALTONA NORTH",3025
"516","BROOKLYN",3012
"517","LAVERTON",3028
"518","NEWPORT",3015
"519","SPOTSWOOD",3015
"520","SEABROOK",3028
"521","SEAHOLME",3018
"522","SOUTH KINGSVILLE",3015
"523","WILLIAMSTOWN",3016
"524","WILLIAMSTOWN NORTH",3016
"525","BRAYBROOK",3019
"526","FOOTSCRAY",3011
"527","KINGSVILLE",3012
"528","MAIDSTONE",3012
"529","MARIBYRNONG",3032
"530","SEDDON",3011
"531","TOTTENHAM",3012
"532","WEST FOOTSCRAY",3012
"533","YARRAVILLE",3013
"534","BROOKFIELD",3338
"535","BURNSIDE",3023
"536","BURNSIDE HEIGHTS",3023
"537","CAROLINE SPRINGS",3023
"538","DIGGERS REST",3427
"539","EXFORD",3338
"540","EYNESBURY",3338
"541","HILLSIDE",3037
"542","KURUNJANG",3337
"543","MELTON",3337
"544","MELTON SOUTH",3338
"545","MELTON WEST",3337
"546","MOUNT COTTRELL",3024
"547","PARWAN",3340
"548","PLUMPTON",3335
"549","RAVENHALL",3023
"550","ROCKBANK",3335
"551","TOOLERN VALE",3337
"552","TRUGANINA",3029
"553","ABERFELDIE",3040
"554","AIRPORT WEST",3042
"555","ASCOT VALE",3032
"556","AVONDALE HEIGHTS",3034
"557","ESSENDON",3040
"558","ESSENDON FIELDS",3041
"559","ESSENDON NORTH",3041
"560","ESSENDON WEST",3040
"561","FLEMINGTON",3031
"562","KEILOR EAST",3033
"563","MOONEE PONDS",3039
"564","NIDDRIE",3042
"565","STRATHMORE",3041
"566","STRATHMORE HEIGHTS",3041
"567","TRAVANCORE",3032
"568","HOPPERS CROSSING",3029
"569","LAVERTON",3028
"570","LAVERTON NORTH",3026
"571","MANOR LAKES",3024
"572","POINT COOK",3030
"573","TARNEIT",3029
"574","TRUGANINA",3029
"575","WERRIBEE",3030
"576","WERRIBEE SOUTH",3030
"577","WILLIAMS LANDING",3027
"578","WYNDHAM VALE",3024
"579","COCOROC",3030
"580","EYNESBURY",3338
"581","LITTLE RIVER",3211
"582","MAMBOURIN",3024
"583","MOUNT COTTRELL",3024
"584","QUANDONG",3340
